Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Club Crest Chelsea,22,19,3,0,56,13,43,60,2.73,48.2,19.2,28.9,1.32,"9,373",Agnes Beever-Jones - 9,Hannah Hampton,
2,Club Crest Arsenal,22,15,3,4,62,26,36,48,2.18,47.9,20.5,27.4,1.25,"28,808",Alessia Russo - 12,Daphne van Domselaar,
3,Club Crest Manchester Utd,22,13,5,4,41,16,25,44,2,37.4,22.5,14.9,0.68,"7,390",Elisabeth Terland - 10,Phallon Tullis-Joyce,
4,Club Crest Manchester City,22,13,4,5,49,28,21,43,1.95,44.1,24.9,19.3,0.88,"6,726",Khadija Shaw - 12,Khiara Keating,
5,Club Crest Brighton,22,8,4,10,35,41,-6,28,1.27,31.8,39.5,-7.7,-0.35,"3,647","Fran Kirby, Nikita Parris - 7",Sophie Baggaley,
6,Club Crest Aston Villa,22,7,4,11,32,44,-12,25,1.14,26.2,32.5,-6.3,-0.29,"7,067",Rachel Daly - 8,Sabrina D'Angelo,
7,Club Crest Liverpool,22,7,4,11,22,37,-15,25,1.14,25.1,25.7,-0.6,-0.03,"7,023",Olivia Smith - 7,Rachael Laws,
8,Club Crest Everton,22,6,6,10,24,32,-8,24,1.09,19.3,38,-18.7,-0.85,"1,956","Honoka Hayashi, Kelly Gago... - 4",Courtney Brosnan,
9,Club Crest West Ham,22,6,5,11,36,41,-5,23,1.05,30.5,38.7,-8.3,-0.38,"1,838",Shekiera Martinez - 10,Kinga Szemik,
10,Club Crest Leicester City,22,5,5,12,21,37,-16,20,0.91,19.4,36.9,-17.5,-0.79,"2,827",Janice Cayman - 4,Janina Leitzig,
11,Club Crest Tottenham,22,5,5,12,26,44,-18,20,0.91,26,31.3,-5.3,-0.24,"5,387",Bethany England - 8,Lize Kop,
12,Club Crest Crystal Palace,22,2,4,16,20,65,-45,10,0.45,20,46.2,-26.1,-1.19,"1,779","Annabel Blanchard, Katie Stengel - 4",Shae Yanez,Relegated
