Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Club Crest Chelsea,22,19,1,2,66,15,51,58,2.64,43.8,17.8,26,1.18,"6,177",Sam Kerr - 12,Ann-Katrin Berger,
2,Club Crest Manchester Utd,22,18,2,2,56,12,44,56,2.55,35.4,13,22.4,1.02,"10,613","Alessia Russo, Leah Galton - 10",Mary Earps,
3,Club Crest Arsenal,22,15,2,5,49,16,33,47,2.14,42.7,17.6,25.1,1.14,"19,245",Frida Maanum - 9,Manuela Zinsberger,
4,Club Crest Manchester City,22,15,2,5,50,25,25,47,2.14,48,17.2,30.8,1.4,"8,017",Khadija Shaw - 20,Ellie Roebuck,
5,Club Crest Aston Villa,22,11,4,7,47,37,10,37,1.68,28,24.6,3.3,0.15,"4,199",Rachel Daly - 22,Hannah Hampton,
6,Club Crest Everton,22,9,3,10,29,36,-7,30,1.36,20.5,31.5,-11,-0.5,"4,647",Katja Snoeijs - 7,Courtney Brosnan,
7,Club Crest Liverpool,22,6,5,11,24,39,-15,23,1.05,21.2,29.4,-8.2,-0.37,"6,546",Katie Stengel - 9,Rachael Laws,
8,Club Crest West Ham,22,6,3,13,23,44,-21,21,0.95,17.4,37.6,-20.3,-0.92,"1,583","Viviane Asseyi, Dagný Brynjarsdóttir - 6",Mackenzie Arnold,
9,Club Crest Tottenham,22,5,3,14,31,47,-16,18,0.82,19.9,26.8,-6.9,-0.31,"1,422",Bethany England - 12,"Tinja-Riikka Korpela, Rebecca Spencer",
10,Club Crest Leicester City,22,5,1,16,15,48,-33,16,0.73,16,34.6,-18.6,-0.84,"2,974","Hannah Cain, Samantha Tierney... - 2",Janina Leitzig,
11,Club Crest Brighton,22,4,4,14,26,63,-37,16,0.73,23.4,40.5,-17.1,-0.78,"3,427",Elisabeth Terland - 7,Megan Walsh,
12,Club Crest Reading,22,3,2,17,23,57,-34,11,0.5,16.5,42.2,-25.6,-1.17,"2,462","Sanne Troelsgaard Nielsen, Charlie Wellings... - 4",Grace Moloney,Relegated
