Rk,Nation,# Players,Min,List,FIFA Ranking
1,eng England,141,"80,612","Bethany England, Fara Williams, Lauren Hemp, Chloe Kelly, Aileen Whelan, Keira Walsh, Katie Zelem, Gemma Bonner, Steph Houghton, Jordan Nobbs ...",6
2,sct Scotland,24,"16,314","Caroline Weir, Lisa Evans, Lucy Graham, Kim Little, Erin Cuthbert, Martha Thomas, Hannah Godfrey, Abbi Grant, Frankie Brown, Chloe Arthur ...",22
3,ie Republic of Ireland,17,"8,746","Megan Walsh, Niamh Fahey, Katie McCabe, Courtney Brosnan, Grace Moloney, Harriet Scott, Megan Connolly, Lucy Quinn, Leanne Kiernan, Aoife Mannion ...",32
4,wls Wales,15,"12,354","Sophie Ingle, Kayleigh Green, Angharad James, Hayley Ladd, Anna Filbey, Josephine Green, Gemma Evans, Rachel Rowe, Rhiannon Roberts, Loren Dykes ...",34
5,nl Netherlands,12,"8,694","Vivianne Miedema, Daniëlle van de Donk, Danique Kerkdijk, Inessa Kaagman, Jackie Groenen, Jill Roord, Siri Worm, Tessel Middag, Kika van Es, Vita van der Linden ...",3
6,no Norway,9,"5,958","Guro Reiten, Maren Mjelde, Amalie Eikeland, Kristine Leine, Cecilie Kvamme, Lisa-Marie Karlseng Utland, Maria Thorisdottir, Aurora Mikalsen, Cecilie Fiskerstrand",12
7,de Germany,7,"5,721","Pauline Bremer, Katharina Baunach, Laura Vetterlein, Ann-Katrin Berger, Anke Preuß, Leonie Maier, Julia Simic",2
8,fr France,5,"3,598","Kenza Dali, Léa Le Garrec, Maéva Clemaron, Pauline Peyraud-Magnin, Karima Benameur",4
9,se Sweden,5,"3,176","Jonna Andersson, Magdalena Eriksson, Amanda Nildén, Lotta Ökvist, Filippa Wallén",5
10,jm Jamaica,4,"3,976","Rebecca Spencer, Jade Bailey, Drew Spence, Victoria Williams",51
11,us United States,4,"2,330","Adrienne Jordan, Brianna Visalli, Brooke Hendrix, Erin Simon",1
12,kr Korea Republic,4,"1,710","Ji So-yun, Cho So-hyun, Lee Geum-min, Jeon Ga-eul",20
13,nir Northern Ireland,3,"3,039","Rachel Furness, Simone Magill, Rebecca Holloway",56
14,ch Switzerland,3,"2,327","Alisha Lehmann, Lia Wälti, Ramona Bachmann",19
15,ca Canada,3,"1,811","Janine Sonis, Adriana Leon, Rylee Foster",8
16,au Australia,3,874,"Jacynta Galabadaarachchi, Sam Kerr, Chloe Logarzo",7
17,nz New Zealand,2,"2,281","Ria Percival, Olivia Chance",23
18,be Belgium,2,"2,045","Yana Daniels, Tessa Wullaert",17
19,at Austria,2,"1,956","Manuela Zinsberger, Viktoria Schnaderbeck",21
20,ng Nigeria,2,"1,375","Rinsola Babajide, Iniabasi Umotong",39
21,fi Finland,2,"1,071","Tinja-Riikka Korpela, Adelina Engman",28
22,dk Denmark,2,593,"Matilde Lundorf, Katrine Veje",16
23,gh Ghana,1,616,Chantelle Boye-Hlorkah,60
24,ma Morocco,1,574,Rosella Ayane,81
25,do Dominican Republic,1,148,Lucía Marte,102
26,pt Portugal,1,64,Matilde Fidalgo,31
27,is Iceland,1,49,Rakel Hönnudóttir,18
28,pl Poland,1,1,Wiktoria Kiszkis,30
