Rk,Nation,# Players,Min,List,FIFA Ranking
1,eng England,150,"106,092","Nikita Parris, Remi Allen, Ellen White, Fara Williams, Fran Kirby, Jordan Nobbs, Brooke Chaplen, Bethany England, Lauren Hemp, Alex Greenwood ...",3
2,wls Wales,29,"17,902","Rachel Rowe, Sophie Ingle, Natasha Harding, Hayley Ladd, Gemma Evans, Nicola Cousins, Angharad James, Georgia Evans, Loren Dykes, Kayleigh Green ...",35
3,sct Scotland,11,"11,185","Claire Emslie, Jennifer Beattie, Caroline Weir, Lisa Evans, Emma Mitchell, Chloe Arthur, Erin Cuthbert, Kim Little, Jane Ross, Frankie Brown ...",23
4,ie Republic of Ireland,11,"6,344","Aoife Mannion, Megan Walsh, Louise Quinn, Katie McCabe, Harriet Scott, Grace Moloney, Lucy Quinn, Megan Campbell, Marie Hourihan, Harriet Lambe ...",29
5,nl Netherlands,10,"9,635","Daniëlle van de Donk, Dominique Janssen, Danique Kerkdijk, Dominique Bruinenberg, Vivianne Miedema, Sari van Veenendaal, Siri Worm, Marthe Munsterman, Mandy van den Berg, Tessel Middag",7
6,de Germany,6,"2,838","Ann-Katrin Berger, Marisa Ewers, Josephine Henning, Anke Preuß, Pauline Bremer, Isabelle Linden",2
7,se Sweden,5,"3,247","Magdalena Eriksson, Jonna Andersson, Hedvig Lindahl, Jessica Samuelsson, Julia Spetsmark",10
8,jm Jamaica,4,"3,452","Victoria Williams, Satara Murray, Drew Spence, Rebecca Spencer",64
9,nir Northern Ireland,4,"1,899","Rachel Furness, Simone Magill, Becky Flaherty, Chelsea Cochrane",55
10,us United States,3,"3,039","Zaneta Wyne, Heather O'Reilly, Crystal Dunn",1
11,be Belgium,3,"2,780","Yana Daniels, Julie Biesmans, Lorca Van De Putte",22
12,no Norway,3,"2,286","Maren Mjelde, Maria Thorisdottir, Andrine Hegerberg",14
13,dk Denmark,2,932,"Nadia Nadim, Mie Leth Jans",12
14,nz New Zealand,2,879,"Olivia Chance, Anna Green",19
15,ca Canada,1,"1,228",Kylla Sjoman,5
16,kr Korea Republic,1,"1,003",Ji So-yun,14
17,ch Switzerland,1,807,Ramona Bachmann,17
18,gh Ghana,1,747,Chantelle Boye-Hlorkah,46
19,at Austria,1,166,Simona Koren,21
20,ng Nigeria,1,72,Rinsola Babajide,37
