Rk,Nation,# Players,Min,List,FIFA Ranking
1,eng England,153,"119,307","Fran Kirby, Chloe Kelly, Ella Toone, Izzy Christiansen, Ellen White, Beth Mead, Bethany England, Aileen Whelan, Lauren Hemp, Claudia Walker ...",6
2,sct Scotland,20,"20,148","Caroline Weir, Erin Cuthbert, Claire Emslie, Lucy Graham, Kim Little, Kirsty Hanson, Martha Thomas, Christie Murray, Emma Mitchell, Sandy MacIver ...",21
3,wls Wales,16,"15,423","Natasha Harding, Angharad James, Jess Fishlock, Gemma Evans, Rachel Rowe, Hayley Ladd, Sophie Ingle, Kayleigh Green, Josephine Green, Lily Woodham ...",31
4,ie Republic of Ireland,15,"12,791","Katie McCabe, Grace Moloney, Harriet Scott, Megan Connolly, Megan Walsh, Rianna Jarrett, Ruesha Littlejohn, Emily Murphy, Denise O'Sullivan, Lucy Quinn ...",31
5,nl Netherlands,10,"11,855","Vivianne Miedema, Inessa Kaagman, Jill Roord, Jackie Groenen, Daniëlle van de Donk, Danique Kerkdijk, Siri Worm, Nadine Hanssen, Damaris Egurrola, Kika van Es",4
6,au Australia,10,"11,575","Sam Kerr, Caitlin Foord, Emily van Egmond, Hayley Raso, Alanna Kennedy, Mackenzie Arnold, Ella Mastrantonio, Lydia Williams, Chloe Logarzo, Steph Catley",7
7,no Norway,10,"9,696","Ingrid Moe Wold, Amalie Eikeland, Cecilie Kvamme, Maren Mjelde, Guro Reiten, Kristine Leine, Cecilie Fiskerstrand, Maria Thorisdottir, Aurora Mikalsen, Benedicte Håland",11
8,de Germany,8,"9,714","Lisa Weiß, Melanie Leupolz, Ann-Katrin Berger, Laura Vetterlein, Marisa Ewers, Ramona Petzelberger, Caroline Siems, Leonie Maier",2
9,us United States,6,"4,027","Sam Mewis, Christen Press, Tobin Heath, Abby Dahlkemper, Rose Lavelle, Alex Morgan",1
10,se Sweden,5,"3,645","Magdalena Eriksson, Jonna Andersson, Zećira Mušović, Lotta Ökvist, Nor Mustafa",5
11,fr France,5,"3,380","Kenza Dali, Valérie Gauvin, Hawa Cissoko, Maéva Clemaron, Karima Benameur",3
12,dk Denmark,4,"5,714","Pernille Harder, Nicoline Sørensen, Rikke Sevecke, Stine Larsen",14
13,jm Jamaica,4,"3,998","Rebecca Spencer, Victoria Williams, Shania Hayles, Drew Spence",50
14,ca Canada,4,"3,875","Shelina Zadorsky, Adriana Leon, Janine Sonis, Jessie Fleming",8
15,ch Switzerland,4,"3,827","Lia Wälti, Noelle Maritz, Alisha Lehmann, Malin Gut",19
16,kr Korea Republic,4,"3,508","Ji So-yun, Lee Geum-min, Cho So-hyun, Jeon Ga-eul",18
17,nir Northern Ireland,4,"3,376","Rebecca Holloway, Simone Magill, Laura Rafferty, Chloe McCarron",49
18,nz New Zealand,3,"1,859","Ria Percival, Rebekah Stott, Erin Nayler",22
19,fi Finland,3,"1,647","Emma Koivisto, Nora Heroum, Tinja-Riikka Korpela",25
20,at Austria,2,"1,629","Manuela Zinsberger, Viktoria Schnaderbeck",20
21,be Belgium,1,"1,713",Yana Daniels,17
22,es Spain,1,"1,632",Ona Batlle,12
23,cz Czech Republic,1,"1,032",Kateřina Svitková,27
24,ma Morocco,1,"1,005",Rosella Ayane,77
25,jp Japan,1,981,Mana Iwabuchi,10
26,is Iceland,1,802,Dagný Brynjarsdóttir,16
27,pt Portugal,1,523,Diana Silva,30
28,do Dominican Republic,1,245,Lucía Marte,97
29,gh Ghana,1,171,Chantelle Boye-Hlorkah,58
30,br Brazil,1,100,Ivana Fuso,8
31,gr Greece,1,33,Veatriki Sarri,63
32,pl Poland,1,1,Wiktoria Kiszkis,29
33,mx Mexico,1,,Silvana Flores,28
34,za South Africa,1,,Faith Nokuthula,53
