Rk,Nation,# Players,Min,List,FIFA Ranking
1,eng England,144,"105,128","Rachel Daly, Chloe Kelly, Leah Galton, Katie Zelem, Lauren Hemp, Ella Toone, Katie Robinson, Bethany England, Alessia Russo, Laura Coombs ...",4
2,wls Wales,15,"15,493","Hayley Ladd, Rachel Rowe, Ceri Holland, Sophie Ingle, Angharad James, Gemma Evans, Carrie Jones, Hannah Cain, Kayleigh Green, Lily Woodham ...",32
3,sct Scotland,14,"14,891","Kirsty Hanson, Erin Cuthbert, Emma Mitchell, Sophie Howard, Lisa Evans, Kirsty Smith, Lucy Graham, Kim Little, Rachel Corsie, Martha Thomas ...",25
4,ie Republic of Ireland,14,"11,919","Katie McCabe, Anna Patten, Megan Walsh, Courtney Brosnan, Megan Connolly, Megan Campbell, Grace Moloney, Niamh Fahey, Diane Caldwell, Izzy Atkinson ...",23
5,no Norway,13,"11,042","Guro Reiten, Frida Maanum, Amalie Eikeland, Elisabeth Terland, Celin Ildhusøy, Elise Stenevik, Guro Bergsvand, Maren Mjelde, Julie Blakstad, Vilde Bøe Risa ...",13
6,au Australia,13,"10,203","Sam Kerr, Caitlin Foord, Mackenzie Arnold, Steph Catley, Courtney Nevin, Clare Wheeler, Remy Siemsen, Lydia Williams, Hayley Raso, Mary Fowler ...",12
7,dk Denmark,11,"8,859","Rikke Sevecke, Nicoline Sørensen, Pernille Harder, Sanne Troelsgaard Nielsen, Karen Holmgaard, Katrine Veje, Emma Snerle, Amalie Thestrup, Kathrine Kühl, Sofie Lundgaard ...",18
8,se Sweden,10,"12,254","Stina Blackstenius, Julia Zigiotti Olme, Nathalie Björn, Magdalena Eriksson, Emma Kullberg, Hanna Bennison, Filippa Angeldahl, Johanna Rytting Kaneryd, Zećira Mušović, Lina Hurtig",3
9,ca Canada,7,"4,177","Jessie Fleming, Kadeisha Buchanan, Shelina Zadorsky, Sabrina D'Angelo, Adriana Leon, Deanne Rose, Jayde Riviere",6
10,fr France,6,"6,227","Kenza Dali, Viviane Asseyi, Ève Périsset, Hawa Cissoko, Estelle Cascarino, Aïssatou Tounkara",5
11,nl Netherlands,6,"4,924","Katja Snoeijs, Kerstin Casparij, Victoria Pelova, Shanice van de Sanden, Vivianne Miedema, Aniek Nouwen",8
12,us United States,6,"4,190","Katie Stengel, Zoe Morse, Erin Simon, Brooke Hendrix, Brianna Visalli, Kaylan Marckese",1
13,jp Japan,5,"6,727","Yui Hasegawa, Risa Shimizu, Honoka Hayashi, Fūka Nagano, Mana Iwabuchi",11
14,jm Jamaica,5,"5,490","Khadija Shaw, Drew Spence, Rebecca Spencer, Victoria Williams, Lulu Jarvis",44
15,es Spain,5,"4,675","Ona Batlle, Lucía García, Laia Aleixandri, Leila Ouahabi, Vicky Losada",7
16,de Germany,5,"3,098","Ann-Katrin Berger, Janina Leitzig, Melanie Leupolz, Leonie Maier, Ramona Petzelberger",2
17,nir Northern Ireland,5,"2,086","Jacqueline Burns, Lauren Wade, Rachel Furness, Simone Magill, Demi Vance",47
18,nz New Zealand,4,"2,245","CJ Bott, Anna Leat, Rebekah Stott, Ria Percival",24
19,fi Finland,3,"4,243","Emma Koivisto, Eveliina Summanen, Tinja-Riikka Korpela",31
20,ch Switzerland,3,"4,073","Alisha Lehmann, Lia Wälti, Noelle Maritz",21
21,be Belgium,3,"2,480","Justine Vanhaevermaet, Yana Daniels, Amber Tysiak",20
22,kr Korea Republic,3,"2,042","Lee Geum-min, Cho So-hyun, Park Yeeun",15
23,at Austria,2,"2,592","Manuela Zinsberger, Laura Wienroither",19
24,br Brazil,2,"1,588","Rafaelle, Gio Garbelini",9
25,rs Serbia,2,761,"Jelena Čanković, Dejana Stefanović",36
26,is Iceland,1,"1,762",Dagný Brynjarsdóttir,16
27,ng Nigeria,1,"1,739",Ashleigh Plumptre,45
28,gr Greece,1,"1,438",Veatriki Sarri,62
29,ma Morocco,1,"1,093",Rosella Ayane,76
30,ve Venezuela,1,"1,079",Deyna Castellanos,52
31,it Italy,1,"1,066",Aurora Galli,17
32,cm Cameroon,1,635,Easther Mayi Kith,58
33,pl Poland,1,498,Nikola Karczewska,30
34,ru Russia,1,121,Alsu Abdullina,26
35,cz Czech Republic,1,86,Kateřina Svitková,28
36,gh Ghana,1,61,Chantelle Boye-Hlorkah,59
