Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Club Crest Chelsea,22,18,1,3,71,18,53,55,2.5,57.9,20.1,37.9,1.72,"9,291",Lauren James - 13,Hannah Hampton,
2,Club Crest Manchester City,22,18,1,3,61,15,46,55,2.5,46.7,18.7,28,1.27,"7,400",Khadija Shaw - 21,Khiara Keating,
3,Club Crest Arsenal,22,16,2,4,53,20,33,50,2.27,53.1,17.9,35.2,1.6,"29,999",Alessia Russo - 12,Manuela Zinsberger,
4,Club Crest Liverpool,22,12,5,5,36,28,8,41,1.86,26,27.2,-1.1,-0.05,"4,550",Sophie Román Haug - 7,Rachael Laws,
5,Club Crest Manchester Utd,22,10,5,7,42,32,10,35,1.59,35,28.3,6.7,0.31,"10,957",Nikita Parris - 8,Mary Earps,
6,Club Crest Tottenham,22,8,7,7,31,36,-5,31,1.41,27.8,31.4,-3.6,-0.16,"4,317",Martha Thomas - 7,Rebecca Spencer,
7,Club Crest Aston Villa,22,7,3,12,27,43,-16,24,1.09,24.5,38.4,-13.9,-0.63,"5,100",Rachel Daly - 8,Daphne van Domselaar,
8,Club Crest Everton,22,6,5,11,24,37,-13,23,1.05,20.5,36.2,-15.7,-0.71,"2,071","Aurora Galli, Martina Piemonte... - 3",Courtney Brosnan,
9,Club Crest Brighton,22,5,4,13,26,48,-22,19,0.86,20.7,40.1,-19.4,-0.88,"3,553",Elisabeth Terland - 13,Sophie Baggaley,
10,Club Crest Leicester City,22,4,6,12,26,45,-19,18,0.82,23.9,41.1,-17.2,-0.78,"2,666",Jutta Rantala - 6,Janina Leitzig,
11,Club Crest West Ham,22,3,6,13,20,45,-25,15,0.68,22.5,30.1,-7.6,-0.34,"1,892","Riko Ueki, Viviane Asseyi - 6",Mackenzie Arnold,
12,Club Crest Bristol City,22,1,3,18,20,70,-50,6,0.27,16.1,45.5,-29.4,-1.34,"6,974",Amalie Thestrup - 9,Shae Yanez,Relegated
